building_name,image_url,page_url
Grainger Engineering Library,https://upload.wikimedia.org/wikipedia/commons/6/63/Grainger_Engineering_Library_Information_Center_%282008%29.jpg,https://en.wikipedia.org/?curid=5773362
Siebel Center for Computer Science,https://ws.engr.illinois.edu/sitemanager/viewphoto.aspx?id=12050&s=1200,
ECE Building,https://ece.illinois.edu/_sitemanager/viewphoto.aspx?id=2240&s=1920&h=1200,
Everitt Laboratory,https://everitt.illinois.edu/img/everitt-program.jpg,
Campus Instructional Facility (CIF), https://grainger.illinois.edu/_sitemanager/viewphoto.aspx?id=95218&s=400,
Loomis Laboratory of Physics,https://upload.wikimedia.org/wikipedia/commons/0/07/Francis_Loomis.jpg,https://en.wikipedia.org/?curid=11933872
Transportation Building,https://upload.wikimedia.org/wikipedia/commons/a/af/University_of_Illinois_seal.svg,https://en.wikipedia.org/?curid=384695
Mechanical Engineering Lab (MEL),https://grainger.illinois.edu/_sitemanager/viewphoto.aspx?id=95338&s=400
Altgeld Hall,https://upload.wikimedia.org/wikipedia/commons/2/24/Altgeld_Hall_-_UIUC_-_DSC09097.JPG,https://en.wikipedia.org/?curid=19819005
Lincoln Hall,https://upload.wikimedia.org/wikipedia/commons/c/c8/Lincoln_Hall_Building.JPG,https://en.wikipedia.org/?curid=3826618
Gregory Hall,https://upload.wikimedia.org/wikipedia/commons/a/af/University_of_Illinois_seal.svg,https://en.wikipedia.org/?curid=384695
Henry Administration Building,https://upload.wikimedia.org/wikipedia/commons/a/af/University_of_Illinois_seal.svg,https://en.wikipedia.org/?curid=384695
Davenport Hall,https://upload.wikimedia.org/wikipedia/commons/9/98/Quad_Cities_Montage.jpg,https://en.wikipedia.org/?curid=25208
Noyes Laboratory,https://upload.wikimedia.org/wikipedia/commons/f/f6/William_Albert_Noyes_Laboratory_of_Chemistry_University_of_Illinois_at_Urbana-Champaign.jpg,https://en.wikipedia.org/?curid=6921014
Smith Memorial Hall,https://upload.wikimedia.org/wikipedia/commons/9/9d/SmithMemorialHall_Urbana_Illinois_4565.jpg,https://en.wikipedia.org/?curid=24877449
Psychology Building,https://upload.wikimedia.org/wikipedia/commons/a/af/University_of_Illinois_seal.svg,https://en.wikipedia.org/?curid=148541
Business Instructional Facility (BIF),https://upload.wikimedia.org/wikipedia/commons/2/2a/GiesBusiness_center.jpg,https://en.wikipedia.org/?curid=5280819
Wohlers Hall,https://upload.wikimedia.org/wikipedia/commons/9/9c/Big_Ten_logo_in_Illinois_colors.svg,https://en.wikipedia.org/?curid=1730396
Krannert Center for the Performing Arts,https://upload.wikimedia.org/wikipedia/commons/1/16/UIUC_Krannert_Performing.JPG,https://en.wikipedia.org/?curid=3491999
Krannert Art Museum,https://upload.wikimedia.org/wikipedia/commons/f/f8/UIUC_Krannert_Art.JPG,https://en.wikipedia.org/?curid=8384947
Armory,https://upload.wikimedia.org/wikipedia/commons/a/af/University_of_Illinois_seal.svg,https://en.wikipedia.org/?curid=384695
Huff Hall,https://upload.wikimedia.org/wikipedia/commons/f/fc/Huff_Hall.jpg,https://en.wikipedia.org/?curid=5567312
State Farm Center,https://upload.wikimedia.org/wikipedia/commons/8/81/Assembly-hall-02.jpg,https://en.wikipedia.org/?curid=1854655
Memorial Stadium,https://fightingillini.com/images/2021/8/23/memorial_stadium.jpg?width=1000&height=350&mode=crop
ARC,https://upload.wikimedia.org/wikipedia/commons/a/af/University_of_Illinois_seal.svg,https://en.wikipedia.org/?curid=384695
CRCE,https://upload.wikimedia.org/wikipedia/commons/a/af/University_of_Illinois_seal.svg,https://en.wikipedia.org/?curid=384695
Nugent Hall,https://upload.wikimedia.org/wikipedia/commons/3/3d/Ted_Nugent_at_the_Redneck_Country_Club%2C_July_6%2C_2017_MG_9741_%28cropped%29.jpg,https://en.wikipedia.org/?curid=10519138
Bousfield Hall,https://upload.wikimedia.org/wikipedia/commons/1/12/MaudelleBrownBousfield1906.png,https://en.wikipedia.org/?curid=64137226
Illinois Street Residence (ISR),https://upload.wikimedia.org/wikipedia/commons/2/2c/UIUCAlma_Mater2015.JPG,https://en.wikipedia.org/?curid=5839371
Ikenberry Commons (IKE),,
Illini Union,https://upload.wikimedia.org/wikipedia/commons/f/f3/Illini_Union_University_of_Illinois_front.jpg,https://en.wikipedia.org/?curid=7645069
Main Library,https://upload.wikimedia.org/wikipedia/commons/1/1f/MainLibrary_Urbana_Illinois_4582.jpg,https://en.wikipedia.org/?curid=43599963
ACES Library,https://upload.wikimedia.org/wikipedia/commons/a/af/University_of_Illinois_seal.svg,https://en.wikipedia.org/?curid=384695
Burrill Hall,https://upload.wikimedia.org/wikipedia/commons/5/5d/Tim_Killeen_and_Tom_Vilsack.jpg,https://en.wikipedia.org/?curid=13719965
Bevier Hall,https://upload.wikimedia.org/wikipedia/commons/8/89/English_Building_University_of_Illinois_at_Urbana-Champaign_from_south.jpg,https://en.wikipedia.org/?curid=67685058
Turner Hall,https://upload.wikimedia.org/wikipedia/commons/5/5c/Scott_Turner%2C_official_portrait_%282025%29.jpg,https://en.wikipedia.org/?curid=4708054
Japan House,https://upload.wikimedia.org/wikipedia/commons/1/1b/JHphoto2.jpg,https://en.wikipedia.org/?curid=24594551
Spurlock Museum,https://upload.wikimedia.org/wikipedia/en/0/09/Spurlock_6.jpg,https://en.wikipedia.org/?curid=5855327
